city,full_name
Indiana,Indiana Pacers
New York,New York Knicks
Memphis,Memphis Grizzlies
Toronto,Toronto Raptors
Oklahoma City,Oklahoma City Thunder
Detroit,Detroit Pistons
LA,LA Clippers
Golden State,Golden State Warriors
Philadelphia,Philadelphia 76ers
Utah,Utah Jazz
Sacramento,Sacramento Kings
Cleveland,Cleveland Cavaliers
Houston,Houston Rockets
Sacramento,Sacramento Kings
Memphis,Memphis Grizzlies
Portland,Portland Trail Blazers
Boston,Boston Celtics
Cleveland,Cleveland Cavaliers
Atlanta,Atlanta Hawks
Orlando,Orlando Magic
